          0                 1                 2               3               4              5
   100.000000       83.2773514       69.1288300       59.1366005       53.2899284       50.0000000    
   100.000000       83.3310852       69.2155914       59.2231407       53.3432999       50.0000000    
   100.000000       83.3843842       69.3016586       59.3089905       53.3962517       50.0000000    
   100.000000       83.4372559       69.3870392       59.3941574       53.4487839       50.0000000    
   100.000000       83.4897079       69.4717331       59.4786491       53.5009003       50.0000000    
   100.000000       83.5417328       69.5557556       59.5624695       53.5526047       50.0000000    
   100.000000       83.5933456       69.6391068       59.6456223       53.6039009       50.0000000    
   100.000000       83.6445389       69.7217865       59.7281151       53.6547890       50.0000000    
   100.000000       83.6953201       69.8038025       59.8099518       53.7052765       50.0000000    
   100.000000       83.7456970       69.8851700       59.8911400       53.7553635       50.0000000    
   100.000000       83.7956696       69.9658813       59.9716797       53.8050537       50.0000000    
   100.000000       83.8452377       70.0459518       60.0515785       53.8543510       50.0000000    
   100.000000       83.8944092       70.1253815       60.1308441       53.9032593       50.0000000    
   100.000000       83.9431839       70.2041702       60.2094803       53.9517784       50.0000000    
   100.000000       83.9915695       70.2823334       60.2874908       53.9999161       50.0000000    
   100.000000       84.0395660       70.3598709       60.3648796       54.0476723       50.0000000    
   100.000000       84.0871735       70.4367905       60.4416542       54.0950470       50.0000000    
   100.000000       84.1343994       70.5130920       60.5178185       54.1420479       50.0000000    
   100.000000       84.1812515       70.5887833       60.5933762       54.1886787       50.0000000    
   100.000000       84.2277222       70.6638718       60.6683311       54.2349396       50.0000000    
   100.000000       84.2738266       70.7383575       60.7426910       54.2808304       50.0000000    
   100.000000       84.3195572       70.8122482       60.8164597       54.3263588       50.0000000    
   100.000000       84.3649216       70.8855515       60.8896408       54.3715286       50.0000000    
   100.000000       84.4099197       70.9582672       60.9622383       54.4163399       50.0000000    
   100.000000       84.4545593       71.0304031       61.0342598       54.4607925       50.0000000    
   100.000000       84.4988403       71.1019592       61.1057091       54.5048943       50.0000000    
   100.000000       84.5427704       71.1729507       61.1765900       54.5486450       50.0000000    
   100.000000       84.5863419       71.2433701       61.2469063       54.5920486       50.0000000    
   100.000000       84.6295700       71.3132248       61.3166618       54.6351089       50.0000000    
   100.000000       84.6724472       71.3825226       61.3858643       54.6778297       50.0000000    
   100.000000       84.7149811       71.4512711       61.4545135       54.7202110       50.0000000    
   100.000000       84.7571793       71.5194702       61.5226173       54.7622566       50.0000000    
   100.000000       84.7990341       71.5871201       61.5901794       54.8039665       50.0000000    
   100.000000       84.8405533       71.6542358       61.6572037       54.8453445       50.0000000    
   100.000000       84.8817444       71.7208099       61.7236938       54.8863945       50.0000000    
   100.000000       84.9225998       71.7868576       61.7896538       54.9271202       50.0000000    
   100.000000       84.9631348       71.8523712       61.8550911       54.9675217       50.0000000    
   100.000000       85.0033417       71.9173660       61.9200058       55.0076027       50.0000000    
